,Date,Open,High,Low,Close,Adj Close,Volume,daily_return,Vader_Text_polarity,polarity_score_change,pos_count,neg_count,neu_count,tweet_count
68,2018-07-06,12.51,13.37,12.5,13.3,13.3,6019300.0,0.031007751937984523,1.8822,0.4436000000000002,5.0,3.0,6.0,14.0
790,2018-07-07,,,,,,,,5.4510000000000005,3.5688000000000004,10.0,1.0,3.0,14.0
791,2018-07-08,,,,,,,,1.3645,-4.086500000000001,5.0,5.0,7.0,17.0
69,2018-07-09,13.66,14.08,13.285,13.85,13.85,9256500.0,0.04135338345864653,3.6521,2.2876,10.0,2.0,2.0,14.0
70,2018-07-10,13.47,13.97,13.13,13.26,13.26,6777500.0,-0.04259927797833934,2.2904,-1.3617,5.0,2.0,8.0,15.0
71,2018-07-11,12.96,13.53,12.76,12.78,12.78,7441200.0,-0.036199095022624465,4.8494,2.559,9.0,1.0,10.0,20.0
72,2018-07-12,13.2,14.4,12.95,14.26,14.26,11804400.0,0.11580594679186232,7.0111,2.1616999999999997,12.0,3.0,12.0,27.0
73,2018-07-13,14.5,14.69,13.5,13.8,13.8,9513200.0,-0.03225806451612897,9.943399999999999,2.932299999999999,18.0,2.0,6.0,26.0
792,2018-07-14,,,,,,,,1.6801000000000001,-8.2633,5.0,1.0,6.0,12.0
793,2018-07-15,,,,,,,,3.4036999999999997,1.7235999999999996,9.0,3.0,2.0,14.0
74,2018-07-16,13.72,14.25,13.28,13.8,13.8,8538200.0,0.0,,,,,,
75,2018-07-17,13.42,14.15,13.1,13.69,13.69,6857100.0,-0.00797101449275371,,,,,,
76,2018-07-18,13.95,14.99,13.9,14.43,14.43,10267600.0,0.05405405405405407,,,,,,
77,2018-07-19,14.43,15.08,13.8,13.92,13.92,10799300.0,-0.03534303534303533,,,,,,
78,2018-07-20,13.96,14.71,13.82,14.41,14.41,6371200.0,0.03520114942528737,,,,,,
79,2018-07-23,14.41,14.7,13.636,14.18,14.18,4917200.0,-0.01596113809854271,,,,,,
80,2018-07-24,14.4,14.77,13.65,13.92,13.92,6209200.0,-0.018335684062059224,,,,,,
81,2018-07-25,13.77,13.95,13.13,13.36,13.36,9249400.0,-0.0402298850574713,,,,,,
82,2018-07-26,12.8,13.15,12.66,12.77,12.77,6985700.0,-0.04416167664670658,,,,,,
83,2018-07-27,13.1,13.1,12.0,12.13,12.13,6568300.0,-0.050117462803445485,,,,,,
84,2018-07-30,11.3,12.0,11.05,11.59,11.59,6687400.0,-0.044517724649629095,,,,,,
85,2018-07-31,11.5,12.25,11.35,11.71,11.71,3235500.0,0.010353753235547972,,,,,,
86,2018-08-01,11.66,11.73,11.16,11.33,11.33,3789400.0,-0.0324508966695133,2.8327,-0.5709999999999997,10.0,3.0,3.0,16.0
87,2018-08-02,11.0,11.52,10.7,11.51,11.51,6487900.0,0.015887025595763434,3.8817999999999997,1.0490999999999997,10.0,6.0,9.0,25.0
88,2018-08-03,11.51,11.6,11.0,11.06,11.06,2901600.0,-0.039096437880104196,4.4862,0.6044000000000005,12.0,5.0,7.0,24.0
794,2018-08-04,,,,,,,,0.6282,-3.858,2.0,0.0,2.0,4.0
795,2018-08-05,,,,,,,,3.9081000000000006,3.2799000000000005,7.0,0.0,6.0,13.0
89,2018-08-06,11.12,11.74,11.113,11.27,11.27,3413000.0,0.018987341772151816,1.9272,-1.9809000000000005,6.0,3.0,5.0,14.0
90,2018-08-07,11.38,11.67,11.3,11.4,11.4,2804300.0,0.011535048802129617,1.2656,-0.6616,3.0,2.0,9.0,14.0
91,2018-08-08,11.49,11.679,11.24,11.39,11.39,1809400.0,-0.0008771929824561216,0.4568999999999999,-0.8087000000000002,6.0,3.0,4.0,13.0
92,2018-08-09,11.4,11.579,11.22,11.25,11.25,1839500.0,-0.012291483757682227,3.8898999999999995,3.4329999999999994,10.0,5.0,1.0,16.0
93,2018-08-10,11.25,11.37,11.02,11.14,11.14,2683600.0,-0.009777777777777727,2.0313,-1.8585999999999996,7.0,5.0,5.0,17.0
796,2018-08-11,,,,,,,,2.4988,0.46750000000000025,5.0,2.0,2.0,9.0
797,2018-08-12,,,,,,,,4.232200000000001,1.7334000000000005,9.0,0.0,5.0,14.0
94,2018-08-13,11.19,11.27,10.7,10.81,10.81,2273700.0,-0.029622980251346503,1.0093,-3.2229000000000005,3.0,3.0,11.0,17.0
95,2018-08-14,10.57,10.69,10.26,10.66,10.66,5840400.0,-0.013876040703052761,1.1870999999999998,0.17779999999999974,4.0,3.0,11.0,18.0
96,2018-08-15,9.9,10.3,9.09,10.265,10.265,10742700.0,-0.03705440900562848,2.6611000000000002,1.4740000000000004,5.0,0.0,4.0,9.0
97,2018-08-16,10.51,10.94,10.5,10.56,10.56,5202100.0,0.028738431563565505,2.2408,-0.4203000000000001,8.0,6.0,8.0,22.0
98,2018-08-17,10.55,10.87,9.94,10.7,10.7,2922700.0,0.013257575757575642,4.553,2.3122,8.0,1.0,3.0,12.0
798,2018-08-18,,,,,,,,5.1518000000000015,0.5988000000000016,9.0,0.0,5.0,14.0
799,2018-08-19,,,,,,,,4.3205,-0.8313000000000015,7.0,2.0,4.0,13.0
99,2018-08-20,11.25,11.44,10.5,11.3,11.3,5316300.0,0.056074766355140325,4.2416,-0.07889999999999997,9.0,1.0,9.0,19.0
100,2018-08-21,11.55,12.43,11.5,11.85,11.85,5490500.0,0.04867256637168132,1.5506,-2.691,4.0,2.0,4.0,10.0
101,2018-08-22,11.75,11.82,10.96,11.01,11.01,4486300.0,-0.07088607594936708,1.9622000000000002,0.4116000000000002,4.0,1.0,9.0,14.0
102,2018-08-23,11.21,11.35,10.433,10.53,10.53,4609900.0,-0.04359673024523165,0.45230000000000015,-1.5099,6.0,4.0,3.0,13.0
103,2018-08-24,10.58,10.99,10.41,10.91,10.91,3993900.0,0.03608736942070283,0.4316,-0.020700000000000163,3.0,2.0,7.0,12.0
800,2018-08-25,,,,,,,,1.1991999999999998,0.7675999999999998,4.0,3.0,7.0,14.0
801,2018-08-26,,,,,,,,2.8206,1.6214000000000004,7.0,2.0,4.0,13.0
104,2018-08-27,11.45,11.77,10.96,11.53,11.53,9487100.0,0.056828597616865185,0.17970000000000008,-2.6409000000000002,4.0,3.0,8.0,15.0
105,2018-08-28,12.85,13.75,12.64,13.08,13.08,19444300.0,0.13443191673894195,10.8765,10.6968,21.0,7.0,15.0,43.0
106,2018-08-29,13.0,14.23,12.18,13.76,13.76,9428200.0,0.05198776758409784,1.2313,-9.645199999999999,8.0,4.0,6.0,18.0
107,2018-08-30,13.4,13.7,12.25,13.14,13.14,8767700.0,-0.04505813953488366,5.244200000000002,4.012900000000002,13.0,3.0,4.0,20.0
108,2018-08-31,12.7,13.4,12.7,12.83,12.83,3801300.0,-0.02359208523592089,3.4634,-1.780800000000002,8.0,1.0,4.0,13.0
802,2018-09-01,,,,,,,,2.4381999999999997,-1.0252000000000003,6.0,1.0,3.0,10.0
803,2018-09-02,,,,,,,,-0.5807999999999999,-3.0189999999999997,4.0,5.0,4.0,13.0
804,2018-09-03,,,,,,,,2.4137,2.9945,7.0,4.0,5.0,16.0
109,2018-09-04,12.75,12.86,12.04,12.5,12.5,3758800.0,-0.025720966484801253,4.3741,1.9604000000000004,9.0,2.0,6.0,17.0
110,2018-09-05,12.25,12.31,11.35,11.39,11.39,5320200.0,-0.08879999999999995,2.9651000000000005,-1.4089999999999998,9.0,4.0,7.0,20.0
