UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Science|Business,@scibus,2020-03-16T16:21:59.000Z,"Live blog Update: 
@ERC_Research
 panels carry on reviewing proposals remotely and China's Fosun Pharma to invest $135 million in German company with promising coronavirus vaccine candidate. Follow our hourly updates 
http://bit.ly/3aX2UhJ",🔴 ➡,,1,1,['https://pbs.twimg.com/media/ETPmHuGXkAAuQ2M?format=png&name=small'],https://twitter.com/scibus/status/1239587727320002560
National Business Daily,@NBDPress,2020-03-16T07:09:22.000Z,"China's Fosun Pharma (http://600196.SH) is to trial and launch the #COVID19 #vaccine based on the mRNA platform of German bio-tech company 
@BioNTech_Group
 in China. $BNTX
https://bit.ly/3aZymfA",,,1,,['https://pbs.twimg.com/media/ETNn9YJU4AEG-ZC?format=jpg&name=small'],https://twitter.com/NBDPress/status/1239448658413674497
National Business Daily,@NBDPress,2020-03-16T06:44:26.000Z,"Fosun Pharma (http://600196.SH) announced Sunday that its subsidiary has been granted an exclusive license by German biotech company BioNTech SE to develop #vaccine targeting COVID-19 based on the latter's proprietary mRNA platform.  
@BioNTech_Group
 https://bit.ly/2x1haHC",,1,,,['https://pbs.twimg.com/media/ETNiQZ-UMAEkTyK?format=png&name=small'],https://twitter.com/NBDPress/status/1239442381721571328
Barron's,@barronsonline,2020-03-16T14:31:19.000Z,"BioNTech plans to begin human trials of its COVID-19 coronavirus vaccine late next month in collaboration with Fosun Pharma, a Chinese pharmaceutical company.A German Biotech’s Stock Is Skyrocketing on Coronavirus Vaccine Hopes
BioNTech plans to begin human trials of its COVID-19 coronavirus vaccine late next month in collaboration with Fosun Pharma, a Chinese pharmaceutical company.
barrons.com",,,8,10,[],https://twitter.com/barronsonline/status/1239559878710091776
Paul R. La Monica,@LaMonicaBuzz,2020-03-16T17:30:36.000Z,"German biotech $BNTX, which just went public in October, is up more than 35% today and is the ONLY stock at a new all-time high. Why? Hopes for a COVID-19 vaccine from BioNTech and China's Fosun Pharma.BioNTech and Fosun Pharma form COVID-19 vaccine strategic alliance in China
BioNTech and Fosun Pharma will jointly conduct clinical trials of BNT162 in China, leveraging BioNTech’s proprietary mRNA vaccine technology and Fosun...
globenewswire.com",,,1,1,['https://pbs.twimg.com/card_img/1357031511833387009/o28TB1pX?format=png&name=240x240'],https://twitter.com/LaMonicaBuzz/status/1239604994711736333
Industrie Pharma Magazine,@IPM_Pharma,2020-03-16T14:40:14.000Z,"Covid-19 : BioNTech et Fosun Pharma s’allient pour la mise au point d’un vaccin https://industriepharma.fr/covid-19-biontech-et-fosun-pharma-s-allient-pour-la-mise-au-point-d-un-vaccin,109451… 
@BioNTech_Group
 #COVIDー19Covid-19 : BioNTech et Fosun Pharma s’allient pour la mise au point d’un vaccin
Le laboratoire et la biotech veulent développer et commercialiser le BNT162 contre le Covid-19. La biotech allemande BioNTech et le laboratoire... - Actus Labo
industriepharma.fr",,,7,6,['https://pbs.twimg.com/card_img/1357280704514646017/P6nhjfEM?format=jpg&name=small'],https://twitter.com/IPM_Pharma/status/1239562121651851264
EHA MEDYA,@eha_medya,2020-03-16T23:27:07.000Z,"#Almanya'da Türk bilim insanı Prof. Dr. Uğur Şahin'in kurucu ortağı olduğu biyoteknoloji firması #BioNTech, yeni tip koronavirüs (Kovid-19) aşısı için Çin merkezli Shanghai Fosun Pharmaceutical (#FosunPharma) ile iş birliği anlaşması yaptı.

http://ehamedya.com/turk-bilim-insaninin-sirketi-biontech-koronavirus-asisi-icin-cinli-ilac-devi-ile-anlasti_39932.html…",📌,,20,39,[],https://twitter.com/eha_medya/status/1239694715622219781
Roland Tichy,@RolandTichy,2020-03-16T21:19:03.000Z,"Donald Trump will uns eine  CureVac wegkaufen? Das Unternehmen dementiert. Aber wen interessiert das schon, wen die Story so schön klingt?CureVac dementiert angebliches Übernahme-Angebot von Trump
„Wir wissen nichts davon“, sagt CureVac-Sprecher Thorsten Schüller auf Anfrage von TE. „Uns hat niemand ein Angebot unterbreitet. Auch die US-Regierung hat die Behauptung schon dementiert.“
tichyseinblick.de",,45,262,674,['https://pbs.twimg.com/card_img/1356440318321778689/DZrCXFR5?format=jpg&name=small'],https://twitter.com/RolandTichy/status/1239662486120476673
Layna Goldstein,@LaynaGoldstein,2020-03-16T22:46:52.000Z,"BioNTech erhält von Fosun Pharma bis zu 120 Mio. Euro, wo sind nun die Journalisten von gestern?BioNTech SE: BioNTech und Fosun Pharma arbeiten gemeinsam an der Entwicklung eines mRNA-basierten...
BioNTech und Fosun Pharma werden gemeinsam klinische Studien für den Produktkandidaten BNT162 in China durchführen. Grundlage dafür bildet BioNTechs firmeneigene mRNA-Technologie sowie Fosuns...
finanznachrichten.de",,,,1,['https://pbs.twimg.com/card_img/1348087721818951680/eBwJuyf0?format=png&name=240x240'],https://twitter.com/LaynaGoldstein/status/1239684588475211779
Plexus Ventures,@PlexusVentures,2020-03-16T17:05:11.000Z,"#BioNTech and #Fosun #Pharma form #COVID-19 #vaccine #strategicalliance in #China https://pipelinereview.com/index.php/2020031674028/More-News/BioNTech-and-Fosun-Pharma-form-COVID-19-vaccine-strategic-alliance-in-China.html#.Xm960tgU3KQ.twitter… via http://pipelinereview.com 
@BioNTech_Group
 @fosunpharmaThe Biologics News and Reports Portal
La Merie Publishing prepares brief and full reports as well as competitor analysis reports, the latter in a tabulated format with structured listings of industry-relevant data. One of our top-selling.
pipelinereview.com",,,,,[],https://twitter.com/PlexusVentures/status/1239598601560612867
Endpoints News,@endpts,2020-03-16T12:28:25.000Z,"BioNTech teams up with Fosun Pharma to test Covid-19 mRNA vaccine in China — and scores $50M investmentBioNTech teams up with Fosun Pharma to test Covid-19 mRNA vaccine in China — and scores $50M...
Having quietly launched its own mRNA vaccine efforts against the novel coronavirus to match the higher profile campaigns of Moderna and CureVac, Germany’s BioNTech has offered a glimpse on its...
endpts.com",,,1,3,['https://pbs.twimg.com/card_img/1356734940486975491/WTDlqBIJ?format=jpg&name=small'],https://twitter.com/endpts/status/1239528948071124992
Briefing.com,@Briefingcom,2020-03-16T12:00:48.000Z,$BNTX: BioNTech and Fosun Pharma form COVID-19 vaccine strategic alliance in China; BioNTech reports rapid progress... http://bit.ly/2WcH1XQ,,,,,[],https://twitter.com/Briefingcom/status/1239522001330397184
[iito] Life Science,@iitoLifeScience,2020-03-16T11:17:50.000Z,"BioNTech and Fosun Pharma form COVID-19 vaccine strategic alliance in China https://investors.biontech.de/news-releases/news-release-details/biontech-and-fosun-pharma-form-covid-19-vaccine-strategic… 
@BioNTech_Group
 More German life science business news at [LSG]  at https://life-sciences-germany.com/news/Life-Sciences-Twitter-Germany-Deutschland-Allemagne-News-List-Table-Press-Release-1001-104-10-0-2-desc.html…",,,,,['https://pbs.twimg.com/media/ETOg2cSXsAAqpLK?format=jpg&name=small'],https://twitter.com/iitoLifeScience/status/1239511187911593984
Bahattin Gonultas,@BCgonultas,2020-03-16T23:21:33.000Z,"Türk bilim insanının şirketi BioNTech, #koronavirüs aşısı için Çinli ilaç devi ile anlaştı

- #Fosun Pharma ve #BioNTech, BioNTech’in mRNA tabanlı BNT162 aşısının geliştirilmesinde, klinik testlerinin yapılmasında, pazarlanmasında Çin’de beraber çalışacakBioNTech and Fosun Pharma form COVID-19 vaccine strategic alliance in China | BioNTech
BioNTech and Fosun Pharma will jointly conduct clinical trials of BNT162 in China, leveraging BioNTech’s proprietary mRNA vaccine technology and Fosun Pharma’s clinical development and commercializ...
investors.biontech.de",,,,,[],https://twitter.com/BCgonultas/status/1239693316226265088
kathygibson,@kathygibson,2020-03-16T14:45:34.000Z,"COVID-19, possible clinical trial for a vaccine to commence in late April. Fosun Pharma will team up with BioNTech to conduct trials of its Covid-19 vaccine, BNT162, in China.BioNTech teams up with Fosun Pharma to test Covid-19 mRNA vaccine in China — and scores $50M...
Having quietly launched its own mRNA vaccine efforts against the novel coronavirus to match the higher profile campaigns of Moderna and CureVac, Germany’s BioNTech has offered a glimpse on its...
endpts.com",,,,,['https://pbs.twimg.com/card_img/1356734940486975491/WTDlqBIJ?format=jpg&name=small'],https://twitter.com/kathygibson/status/1239563465905319937
"OTC Dynamics, Inc.",@otcdynamics,2020-03-16T06:07:33.000Z,$BNTX BioNTech and Fosun Pharma form COVID-19 vaccine strategic alliance in China https://otcdynamics.com/bntx-biontech-and-fosun-pharma-form-covid-19-vaccine-strategic-alliance-in-china/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter…,,,,,[],https://twitter.com/otcdynamics/status/1239433098984652800
Patrick Chege,@Patrick30373175,2020-03-16T06:12:04.000Z,"BioNTech and Fosun Pharma form COVID-19 vaccine strategic alliance in China
https://softdynamiks.com/blog/2020/03/16/biontech-and-fosun-pharma-form-covid-19-vaccine-strategic-alliance-in-china/?feed_id=30439&_unique_id=5e6f18b45a057…",,,,,[],https://twitter.com/Patrick30373175/status/1239434237876539393
Guangchang Guo,@GuangchangGuo,2020-03-17T13:03:49.000Z,"I believe an effective vaccine will be the terminator to the pandemic. Fosun Pharma and 
@BioNTech
 SE are now working together to scale up the R&D capacity to develop novel mRNA-based #coronavirus vaccine in fight against #COVID19. 
https://ft.com/content/271ee270-6796-11ea-800d-da70cff6e4d3… via 
@financialtimesFosun and BioNTech launch $135m vaccine hunt for coronavirus
Chinese pharma buys $50m of equity in German group and invests more in development
ft.com",,31,167,613,['https://pbs.twimg.com/card_img/1356861175883993088/S7RHRu84?format=jpg&name=small'],https://twitter.com/GuangchangGuo/status/1239900246592720897
𝕭𝖎𝖙𝖙𝖗𝖆𝖎𝖑,@roccodallas,2020-03-17T18:19:06.000Z,#biontech #coronavirus #fosunpharma #lotharwieler Moderna (MRNA) Stock Skyrocketed Over 19% Today After First Human Vaccine Testing http://j.mp/2IWjjHv,,,1,,['https://pbs.twimg.com/media/ETVK3cYUEAAWNIW?format=jpg&name=small'],https://twitter.com/roccodallas/status/1239979590451257344
E. Lewald,@ELewald,2020-03-17T07:17:02.000Z,"""The race to produce a coronavirus vaccine accelerated on Monday when the German group BioNTech announced a $135m partnership with Fosun Pharma of China to develop a Covid-19 vaccine, which it said could begin clinical testing in late April.""Fosun and BioNTech launch $135m vaccine hunt for coronavirus
Chinese pharma buys $50m of equity in German group and invests more in development
ft.com",,,,,[],https://twitter.com/ELewald/status/1239812973058756609
dough,@semodough,2020-03-17T15:46:17.000Z,"Baml $BNTX increase pipeline plug by $3bn reflecting its advancement of mRNA vaccine for COVID-19 reflect $50mn equity investment by Fosun Pharma. We reiterate our Buy rating with increased PO $47 (prev. $36) as we await initiation of clinical studies in late April.引用推文
dough
@semodough
 · 2019年11月4日
Baml $BNTX US: BioNTech: Initial Opinion - A focus on mRNA and beyond; Initiate at Buy - BUY -",,,,2,['https://pbs.twimg.com/profile_images/1291066256813154304/n-v436nH_mini.jpg'],https://twitter.com/semodough/status/1239941132475420672
The Star,@staronline,2020-03-17T04:02:09.000Z,"German firm teams up with Fosun Pharma on Covid-19 vaccine trial
https://thestar.com.my/news/regional/2020/03/17/german-firm-teams-up-with-fosun-pharma-on-vaccine-trial…German firm teams up with Fosun Pharma on Covid-19 vaccine trial
FRANKFURT (Xinhua): German pharmaceutical company BioNTech on Monday (March 16) announced its strategic alliance with the pharmaceutical arm of China's Fosun Group for the development and commercia...
thestar.com.my",,1,16,16,[],https://twitter.com/staronline/status/1239763932669079552
Eda Pınar Dinçer,@NardincerP,2020-03-17T16:34:00.000Z,"Almanya’da faaliyet gösteren  koronavirüs aşısının geliştirilmesi için Çin merkezli (Fosun Pharma) ile anlaşan Türk Prof. Dr. Uğur Şahin’in kurucu olduğu biyoteknoloji firması BioNTech, bugün de ABD’li Pfizer ile anlaşma imzaladı.",,,2,3,[],https://twitter.com/NardincerP/status/1239953139819782146
Pembe,@PembeOjeliHatun,2020-03-17T06:50:01.000Z,"Fosun Pharma tarafından geliştirilecek olan aşının Pfizer ve BioNTech ile Dünya'ya pazarlanması planlanıyor. Aşının ismi #BNT162 

#SOKAĞACIKMAYASAĞI #evindekaltuerkiye #bakankoca",,,,1,[],https://twitter.com/PembeOjeliHatun/status/1239806175190880256
OğuzKağan,@KagannOguz,2020-03-17T19:16:22.000Z,#nasdaq endeksinde işlem gören #bntx (BioNTech) Almanya'da kurulu bir Türk şirketi. Çin merkezli Fosun Pharma ile #covid-19 aşısı geliştirmek için iş birliğine imza attılar. #bntx bir günde %70 değer kazandı. Hatta #DonaldTrump şirketi satın almak istedi ancak Almanya engel oldu.,,1,1,3,[],https://twitter.com/KagannOguz/status/1239994002201591808
PhillipCapital,@PhillipThailand,2020-03-17T06:07:49.000Z,"(Infoquest) บริษัท BioNTech  ซึ่งเป็นบริษัทเวชภัณฑ์ของเยอรมนีประกาศความร่วมมือกับบริษัท Fosun Pharma ซึ่งเป็นบริษัทในเครือของ Fosun Pharmaceutical (Group) ในเซี่ยงไฮ้ เพื่อพัฒนาและจำหน่ายวัคซีนป้องกันไวรัสโควิด-19 ในจีน
#COVID19",,,1,1,[],https://twitter.com/PhillipThailand/status/1239795557960257539
