Date,Open,High,Low,Close,Adj Close,Volume
2020-04-22,27.900000,29.200001,27.799999,29.000000,28.634312,12444226
2020-04-23,29.650000,31.100000,29.150000,29.650000,29.276114,14506562
2020-04-24,29.900000,30.350000,29.100000,29.450001,29.078638,7161726
2020-04-27,29.900000,30.299999,29.250000,30.000000,29.621700,5352748
2020-04-28,29.700001,30.500000,29.049999,30.150000,29.769810,5085716
2020-04-29,30.600000,30.600000,29.200001,29.600000,29.226746,4112306
2020-05-04,29.049999,29.049999,27.150000,27.799999,27.449442,4114583
2020-05-05,28.000000,28.750000,27.850000,28.450001,28.091248,3098000
2020-05-06,28.750000,29.000000,28.000000,28.200001,27.844400,7531362
2020-05-07,28.500000,28.549999,27.850000,28.150000,27.795029,3885500
2020-05-08,27.700001,28.150000,27.400000,27.500000,27.153227,6811063
2020-05-11,27.799999,28.150000,27.299999,27.450001,27.103857,3689000
2020-05-12,27.500000,28.000000,27.350000,27.600000,27.251965,2628641
2020-05-13,27.900000,27.900000,27.299999,27.500000,27.153227,2293424
2020-05-14,27.049999,27.299999,26.500000,26.950001,26.610163,6128014
2020-05-15,26.900000,27.299999,26.549999,26.750000,26.412683,2747452
2020-05-18,27.250000,27.900000,26.549999,27.100000,26.758270,3552500
2020-05-19,28.000000,28.450001,27.400000,27.400000,27.054487,3088072
2020-05-20,27.950001,27.950001,27.150000,27.299999,26.955748,4403400
2020-05-21,27.600000,28.100000,26.900000,26.950001,26.610163,6148683
2020-05-22,26.549999,26.900000,25.299999,25.799999,25.474663,5473279
2020-05-25,25.799999,26.100000,25.549999,25.950001,25.622772,3890354
2020-05-26,26.150000,26.450001,25.400000,25.400000,25.079706,3769005
2020-05-27,25.250000,25.750000,24.600000,24.850000,24.536642,5608112
2020-05-28,24.600000,24.750000,23.350000,23.950001,23.647993,6688066
2020-05-29,23.500000,24.600000,23.500000,24.600000,24.289795,5882362
2020-06-01,24.850000,25.350000,24.799999,24.900000,24.586012,3242948
2020-06-02,24.750000,25.250000,24.500000,24.750000,24.437904,3578835
2020-06-03,25.000000,25.750000,24.750000,25.700001,25.375925,5116000
2020-06-04,25.900000,26.350000,25.250000,25.600000,25.277185,2799589
2020-06-05,25.650000,25.900000,25.350000,25.750000,25.425293,2333192
2020-06-08,26.049999,26.200001,25.049999,25.350000,25.030338,3026500
2020-06-09,25.100000,26.000000,25.100000,25.950001,25.622772,2368505
2020-06-10,26.200001,26.650000,25.650000,26.250000,25.918989,4187576
2020-06-11,26.250000,26.549999,25.400000,25.500000,25.178446,2518646
2020-06-12,24.900000,26.049999,24.850000,25.900000,25.573402,2564160
2020-06-15,26.000000,26.700001,25.850000,26.450001,26.116467,3921000
2020-06-16,26.650000,26.700001,26.150000,26.250000,25.918989,2747435
2020-06-17,26.450001,27.950001,26.450001,27.950001,27.597553,5836236
2020-06-18,27.900000,27.900000,27.299999,27.850000,27.498814,3399038
2020-06-19,27.950001,28.299999,27.350000,27.600000,27.251965,4914810
2020-06-22,27.700001,28.049999,26.900000,27.000000,26.659531,2900362
2020-06-23,27.200001,27.200001,26.500000,26.950001,26.610163,2626986
2020-06-24,27.200001,27.200001,26.100000,26.299999,25.968357,2057722
2020-06-26,26.600000,26.650000,25.750000,26.150000,25.820250,1459332
2020-06-29,26.100000,26.799999,25.799999,26.750000,26.412683,5083358
2020-06-30,26.900000,26.950001,25.750000,25.900000,25.573402,5681026
2020-07-02,26.350000,27.400000,26.350000,27.200001,26.857010,6195668
